famille;produit;cote_2026;derniere_vente;adj_min;adj_max;nb_adj;vivante;adjudications (date:prix);id
Éditions limitées;Chartreuse Liqueur du foudre 147;158.52;2025-04-18;131.0;167.0;4;oui;2025-01-24:131 | 2025-01-24:131 | 2025-01-24:131 | 2025-04-18:167;230968
Éditions limitées;Chartreuse Liqueur du foudre 147 Mise 2023;149.01;2026-06-12;119.0;453.0;4;oui;2024-11-15:119 | 2025-06-06:334 | 2025-11-14:453 | 2026-06-12:167;222771
Éditions limitées;Chartreuse Liqueur du foudre 147 Mise 2024;126.65;2026-03-13;101.0;149.0;4;oui;2024-11-15:101 | 2024-11-15:101 | 2024-11-15:119 | 2026-03-13:149;233024
Éditions limitées;Chartreuse Marseille 1921-2021 One of 760;4768.0;2026-03-13;4291.0;5364.0;4;oui;2023-07-21:5364 | 2023-11-03:4291 | 2025-07-18:4768 | 2026-03-13:4768;208912
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2020;95.36;2026-01-30;73.0;226.0;4;oui;2024-01-19:73 | 2024-03-08:91 | 2025-10-03:226 | 2026-01-30:95;231112
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2021;96.85;2026-01-30;77.0;107.0;4;oui;2024-03-08:77 | 2024-03-08:79 | 2024-03-08:83 | 2026-01-30:107;219714
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2022;89.4;2026-01-30;77.0;119.0;4;oui;2024-11-15:77 | 2024-11-15:89 | 2025-10-03:119 | 2026-01-30:89;217111
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2022 3L.;518.79;2025-07-18;405.0;524.0;4;oui;2025-03-14:453 | 2025-04-18:405 | 2025-04-18:405 | 2025-07-18:524;231224
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2023;107.28;2026-01-30;95.0;107.0;2;oui;2025-10-03:95 | 2026-01-30:107;235419
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2023 3L;489.97;2025-03-14;405.0;405.0;1;oui;2025-03-14:405;234344
Éditions limitées;Chartreuse Meilleurs Ouvriers de France Sommeliers Mise 2024;108.08;2025-06-06;89.0;89.0;1;oui;2025-06-06:89;234982
Éditions limitées;Chartreuse Tau Mise 2018;187.34;2025-01-24;155.0;155.0;2;oui;2025-01-24:155 | 2025-01-24:155;233781
Éditions limitées;Chartreuse Tau Mise 2019;149.01;2024-12-13;119.0;119.0;1;non;2024-12-13:119;233425
Éditions limitées;Chartreuse Tau Mise 2020;178.8;2026-01-30;143.0;179.0;4;oui;2024-06-07:143 | 2024-06-07:155 | 2024-06-07:155 | 2026-01-30:179;231228
Éditions limitées;Chartreuse Tau Mise 2021 On Trade Cocktail Group;149.01;2026-01-30;119.0;179.0;4;oui;2024-03-08:119 | 2024-03-08:119 | 2024-03-08:119 | 2026-01-30:179;210090
Éditions limitées;Chartreuse Tau Mise 2022;178.8;2024-06-07;143.0;167.0;4;non;2024-04-19:167 | 2024-06-07:143 | 2024-06-07:155 | 2024-06-07:155;231229
Éditions limitées;Chartreuse Tau Mise 2023 On Trade Cocktail Group;149.88;2026-01-30;124.0;167.0;2;oui;2025-10-03:124 | 2026-01-30:167;235426
Éditions limitées;Chartreuse Tau Mise 2024 On Trade Cocktail Group;131.12;2026-01-30;120.0;131.0;2;oui;2025-10-03:120 | 2026-01-30:131;235425
Éditions limitées;Chartreuse Verte Fêtes de la Chartreuse 2021 Edition Limitée;83.44;2024-03-08;67.0;67.0;1;non;2024-03-08:67;231241
Éditions limitées;Chartreuse Verte Les Fêtes de la Chartreuse 2023 Edition Limitée;71.52;2024-08-02;50.0;53.0;4;non;2024-08-02:50 | 2024-08-02:50 | 2024-08-02:50 | 2024-08-02:53;222770
Éditions limitées;Chartreuse Verte Mise 2017 Série Connectée;156.38;2024-12-13;119.0;171.0;4;non;2023-02-03:171 | 2023-12-08:167 | 2024-10-04:131 | 2024-12-13:119;211038
Éditions limitées;Chartreuse Verte Mise 2020 Aiguenoire - One of 20000;141.55;2024-01-19;113.0;131.0;4;non;2023-07-21:131 | 2023-11-03:113 | 2023-12-08:119 | 2024-01-19:113;201591
Éditions limitées;Chartreuse Verte Santa Tecla 2014 Serie Limitada;223.5;2024-03-08;179.0;179.0;1;non;2024-03-08:179;231230
Éditions limitées;Chartreuse Verte Santa Tecla 2019 Serie Limitada;201.15;2024-03-08;143.0;179.0;2;non;2024-03-08:179 | 2024-03-08:143;231234
Éditions limitées;Chartreuse Verte Santa Tecla 2020 Serie Limitada;149.01;2024-03-08;113.0;119.0;4;non;2024-03-08:119 | 2024-03-08:119 | 2024-03-08:119 | 2024-03-08:113;172318
